1.0	0.8	0.6666666666666666	0.5	1.0	1.0	0.14285714285714285	1.0	1.0	1.0	NaN	1.0	1.0	1.0	0.7142857142857143	0.5714285714285714	0.5714285714285714	1.0	1.0	0.0	1.0	0.0	1.0	0.5714285714285714	1.0	0	1.0	1.0	1.0	0.0	1.0	1.0	0.2857142857142857	1.0	NaN	0.0	0.2857142857142857	
1.0	1.0	1.0	1.0	0.8	1.0	1.0	0.8	0.8	0.75	NaN	0.8	0.4	1.0	0.4	1.0	0.75	0.4	0.8	1.0	0.85	1.0	1.0	0.4	1.0	1.0	0	0.4	0.8	1.0	1.0	1.0	1.0	1.0	NaN	1.0	0.75	
1.0	1.0	1.0	1.0	0.6956521739130435	1.0	1.0	0.6341463414634146	0.5	0.0625	NaN	0.5	0.0	0.8611111111111112	0.12195121951219512	1.0	0.36585365853658536	0.0	0.4878048780487805	1.0	0.5483870967741935	1.0	0.6097560975609756	0.0	0.6097560975609756	1.0	0.4	0	0.5	1.0	0.9512195121951219	0.9512195121951219	1.0	1.0	NaN	1.0	0.36585365853658536	
1.0	1.0	1.0	1.0	0.391304347826087	1.0	1.0	0.3888888888888889	0.16666666666666666	0.0	NaN	0.5	0.5	0.8611111111111112	0.5833333333333334	1.0	0.5	0.8	0.4722222222222222	1.0	0.5483870967741935	1.0	0.8888888888888888	0.5	0.8888888888888888	1.0	0.8	0.5	0	1.0	0.6944444444444444	1.0	1.0	0.6944444444444444	NaN	1.0	0.5	
1.0	0.8	0.6666666666666666	0.5	1.0	1.0	0.14285714285714285	1.0	1.0	1.0	NaN	1.0	1.0	1.0	0.7142857142857143	0.5714285714285714	0.5714285714285714	1.0	1.0	0.0	1.0	0.0	1.0	0.5714285714285714	1.0	0.0	1.0	1.0	1.0	0	1.0	1.0	0.2857142857142857	1.0	NaN	0.0	0.2857142857142857	
1.0	1.0	1.0	1.0	0.7391304347826086	1.0	1.0	0.8536585365853658	0.5277777777777778	1.0	NaN	1.0	0.9512195121951219	1.0	0.975609756097561	1.0	0.9512195121951219	1.0	0.8536585365853658	1.0	1.0	1.0	0.975609756097561	0.9512195121951219	0.975609756097561	1.0	1.0	0.9512195121951219	0.6944444444444444	1.0	0	0.4634146341463415	1.0	0.7560975609756098	NaN	1.0	0.9512195121951219	
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9444444444444444	1.0	NaN	1.0	0.9512195121951219	1.0	0.975609756097561	1.0	0.9512195121951219	1.0	0.8536585365853658	1.0	1.0	1.0	0.975609756097561	0.9512195121951219	0.975609756097561	1.0	1.0	0.9512195121951219	1.0	1.0	0.4634146341463415	0	1.0	1.0	NaN	1.0	0.9512195121951219	
1.0	0.8	0.3333333333333333	0.0	1.0	1.0	0.14285714285714285	1.0	1.0	1.0	NaN	1.0	1.0	1.0	0.9444444444444444	0.9411764705882353	0.9722222222222222	1.0	1.0	0.2777777777777778	1.0	0.2777777777777778	1.0	0.9722222222222222	1.0	0.2857142857142857	1.0	1.0	1.0	0.2857142857142857	1.0	1.0	0	1.0	NaN	0.2857142857142857	0.8333333333333334	
1.0	1.0	1.0	1.0	0.9130434782608695	1.0	1.0	0.9512195121951219	0.8055555555555556	1.0	NaN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6944444444444444	1.0	0.7560975609756098	1.0	1.0	0	NaN	1.0	1.0	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	
1.0	0.8	0.6666666666666666	0.5	1.0	1.0	0.14285714285714285	1.0	1.0	1.0	NaN	1.0	1.0	1.0	0.7142857142857143	0.5714285714285714	0.5714285714285714	1.0	1.0	0.0	1.0	0.0	1.0	0.5714285714285714	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.2857142857142857	1.0	NaN	0	0.2857142857142857	
1.0	0.8	0.3333333333333333	0.0	0.6956521739130435	1.0	0.14285714285714285	0.6341463414634146	0.5	0.0625	NaN	0.5	0.36585365853658536	0.8611111111111112	0.7551020408163265	0.9411764705882353	0.7040816326530612	0.75	0.4878048780487805	0.7222222222222222	0.5483870967741935	0.7222222222222222	0.7804878048780488	0.7040816326530612	0.7804878048780488	0.2857142857142857	0.75	0.36585365853658536	0.5	0.2857142857142857	0.9512195121951219	0.9512195121951219	0.8333333333333334	1.0	NaN	0.2857142857142857	0	
